"","ID_Estacion","Periodo","null","ENERO","FEBRERO","MARZO","ABRIL","MAYO","JUNIO","JULIO","AGOSTO","SEPTIEMBRE","OCTUBRE","NOVIEMBRE","DICIEMBRE","TOTAL","Periodo2"
"312","15167","8110",NA,"7.7","10.7","9.2","23.3","45.6","92.8","124.3","98.5","85.4","34.4","4.4","2.9","539.2","1981 - 2010"
"313","15170","5110",NA,"12.1","7.7","14.5","30.3","54.2","104.8","125.5","114.1","91.5","46.2","11.9","5.7","618.5","1951 - 2010"
"314","15170","7100",NA,"11.9","6.7","13","27","47.8","108.3","125","110.9","89.2","46","11.9","6.6","604.3","1971 - 2000"
"315","15170","8110",NA,"11.4","8.8","12.1","28.9","47","103.8","125.2","115.7","85.3","44.3","11","5.1","598.6","1981 - 2010"
"316","15188","5110",NA,"19.4","10","11.4","25.2","65.3","131.9","162","158.2","114.7","61.1","14.9","12.3","786.4","1951 - 2010"
"317","15188","7100",NA,"12","7.2","14.2","30.9","62.4","108","142.2","108.3","80.4","51","11.1","7","634.7","1971 - 2000"
"318","15193","5110",NA,"9.7","10.3","11.5","29.6","87.6","184.7","260.2","268.7","194.2","75.2","24.4","8.1",NA,"1951 - 2010"
"319","15193","7100",NA,"9.1","8.7","9.7","25.2","64.5","130.4","155","129.6","105.6","42.6","13.2","9.4","703","1971 - 2000"
"320","15193","8110",NA,"12.9","12.6","8.5","28.2","61","122.6","156.5","120.8","103.9","43.5","12.2","7.4","690.1","1981 - 2010"
"321","15209","5110",NA,"18.9","14.3","5","9.8","46.1","168.3","206","203.9","188.8","79.1","12.5","2.5","955.2","1951 - 2010"
"322","15209","7100",NA,"8.5","11.1","9.5","31.3","71.8","162.8","231.4","190.3","148.6","75","8.9","7.8","957","1971 - 2000"
"323","15209","8110",NA,"8.2","12.9","7.2","31.4","76.7","172.1","238.4","181.7","140.1","66","10.6","5.1","950.4","1981 - 2010"
"324","15216","5110",NA,"10.1","4.6","5.2","16.1","53.5","235.6","234.3","282.7","262.3","86.6","19.4","6.9",NA,"1951 - 2010"
"325","15216","7100",NA,"8.5","12.8","23.3","36.5","64.9","98.1","93.8","83.8","83.8","34","12.3","7.9","559.7","1971 - 2000"
"326","15252","5110",NA,"20","12.7","9.9","22.7","73.3","184.3","211.9","172.3","148.1","68.5","20.1","7.1","950.9","1951 - 2010"
"327","15252","8110",NA,"14.7","14.1","11.2","24.6","68.2","190.2","214.1","171.6","144.7","69.2","16","5","943.6","1981 - 2010"
"328","15263","5110",NA,"5.1","9.2","11","21.8","38.9","114.6","132.6","100.6","97.8","56.1","12.4","1.4","601.5","1951 - 2010"
"329","15263","8110",NA,"5.1","9.2","11","21.8","38.9","114.6","132.6","100.6","97.8","56.1","12.4","1.4","601.5","1981 - 2010"
"330","15265","5110",NA,"24.9","21.8","10.3","15","70","163.3","215.6","181.7","150.3","77.6","15.2","10.7","956.4","1951 - 2010"
"331","15265","7100",NA,"20.7","17","8.4","15.5","74.3","168.2","221.8","171.4","141.9","79.4","14.9","14.4","947.9","1971 - 2000"
"332","15265","8110",NA,"24.9","21.8","10.3","15","70","163.3","215.6","181.7","150.3","77.6","15.2","10.7","956.4","1981 - 2010"
"333","15268","5110",NA,"7.4","6.1","12.9","28.1","51.2","114.9","133.5","123.4","96.7","46","9.7","2.8","632.7","1951 - 2010"
"334","15268","8110",NA,"7.4","6.1","12.9","28.1","51.2","114.9","133.5","123.4","96.7","46","9.7","2.8","632.7","1981 - 2010"
"335","15274","5110",NA,"11.6","11.5","13.3","28.6","49.6","93.1","92.4","74","57.3","41.4","6.8","3","482.6","1951 - 2010"
"336","15274","7100",NA,"11.9","6.8","14.5","33.6","59","92.5","58.5","50.9","39","29.2","7.8","4.3","408","1971 - 2000"
"337","15274","8110",NA,"11.6","11.5","13.3","28.6","49.6","93.1","92.4","74","57.3","41.4","6.8","3","482.6","1981 - 2010"
"338","15280","5110",NA,"8","11.2","7.7","30.1","49.9","158.9","138.9","153.2","127.2","54.1","17.1","8.9","765.2","1951 - 2010"
"339","15280","7100",NA,"3.3","5.1","6.9","34.9","46","163.3","141.2","144.9","115.7","52.1","20.5","12.2","746.1","1971 - 2000"
"340","15280","8110",NA,"8","11.2","7.7","30.1","49.9","158.9","138.9","153.2","127.2","54.1","17.1","8.9","765.2","1981 - 2010"
"341","15324","5110",NA,"9.6","6.7","1.4","11.2","30.6","156","203","195.2","210.8","86.9","19.2","2.7","933.3","1951 - 2010"
"342","15324","7100",NA,"11.3","1.4","1.8","11.8","24.7","152","175.2","165.1","199.2","89","19.6","3.4","854.5","1971 - 2000"
"343","15324","8110",NA,"9.6","6.7","1.4","11.2","30.6","156","203","195.2","210.8","86.9","19.2","2.7","933.3","1981 - 2010"
"344","17068","5110",NA,"13.9","9","4.5","16.2","73.8","223.6","233.5","226.5","218","73.5","20.5","5",NA,"1951 - 2010"
"345","17068","7100",NA,"11.6","5","3","18.7","75.3","217.9","222.6","213.2","200.5","74.2","25.3","6.7",NA,"1971 - 2000"
"346","17068","8110",NA,"13.9","9","4.5","16.2","73.8","223.6","233.5","226.5","218","73.5","20.5","5",NA,"1981 - 2010"
"347","21217","5110",NA,"4.2","2.5","4.7","3.6","21.5","140.3","153","196","158.8","38.5","3.6","0","726.7","1951 - 2010"
"348","21217","8110",NA,"4.2","2.5","4.7","3.6","21.5","140.3","153","196","158.8","38.5","3.6","0","726.7","1981 - 2010"
